license_plate,owner,vehicle
WYC5321,Freeman Fadiran,Honda Civic
SZZ0150,Jane Smith,Toyota Camry
GNX3211,Bob Johnson,Ford F-150
CP4W127,Alice Williams,Honda Odyssey
GJF6569,Michael Davis,Jeep Compass
MZK7556,Sarah Martinez,Subaru Legacy
THM4390,David Brown,Toyota Corolla
KFM5189,Emily Taylor,Toyota Highlander
FCF8902,James Anderson,Toyota Avalon
DSV3638,Maria Garcia,Ford Escape
WRF0923,Robert Wilson,Honda Civic
NYT1886,Jennifer Moore,Ford Edge
LGM6372,Christopher Lee,Ford F150
WBP9434,Patricia Thomas,Nissan Sentra
XKL9193,Daniel Jackson,Honda Fit
JNW8125,Linda White,Toyota RAV4
VDR8644,Matthew Harris,Toyota RAV4
WHJ8245,Barbara Martin,Lincoln MKZ
RHD2499,Joseph Thompson,Toyota Corolla
PJP4382,Susan Robinson,Nissan NV
